Key,Key,search,Results,search_rescaled,x,y
hearts,hearts,37893,85.97147751,42.5,41.58700180053711,39.5193977355957
christmas,christmas,24402,191.2283204,28.258847280500355,-53.15924072265625,10.016877174377441
heart,heart,15517,116.1837525,18.879806296677486,42.42074966430664,39.0539665222168
thanksgiving,thanksgiving,12588,112.24673440000001,15.787942364025017,-1.051168441772461,64.6584243774414
aesthetic,aesthetic,10646,401.5769346,13.737959517589001,17.364910125732422,-30.634157180786133
love,love,7445,124.980636,10.358971313963002,-8.814342498779297,38.684383392333984
pink,pink,7784,208.4813178,10.716821048742512,13.963395118713379,-49.442138671875
tumblr,tumblr,6971,243.66258009999999,9.858615047634128,-27.420085906982422,18.443984985351562
crown,crown,6515,138.19438469999997,9.377259652178502,34.76602554321289,-13.660247802734375
yellow,yellow,6811,173.16460690000002,9.689718417649697,17.90605926513672,-49.739070892333984
flowers,flowers,6128,145.99658159999998,8.968740928403664,-6.919995307922363,-61.98801040649414
flower,flower,6199,143.61734099999998,9.043688807959253,-7.991904258728027,-60.44108963012695
stars,stars,5450,109.30990849999999,8.253041458844642,24.56110954284668,70.1166763305664
blue,blue,5759,189.5307851,8.579223075502071,16.133663177490234,-48.784603118896484
black,black,5671,168.2473253,8.486329929010635,16.94632911682129,-44.822383880615234
red,red,5259,190.53081880000002,8.051421106800728,17.44207191467285,-49.03334045410156
sad,sad,4164,214.9395645,6.895534795344787,4.5432963371276855,51.204322814941406
emoji,emoji,3789,351.0855329,6.499683318818779,-0.41806742548942566,14.193768501281738
purple,purple,4015,201.0421149,6.738249808671786,14.76822566986084,-49.806678771972656
smoke,smoke,3436,108.47926670000001,6.1270551289156305,34.33633041381836,-27.72969627380371
rose,rose,3218,154.0210135,5.896933470561845,56.476905822753906,12.214564323425293
glitter,glitter,3194,112.87450220000001,5.871598976064181,36.5108642578125,-45.54742431640625
supreme,supreme,3229,77.74408168,5.9085451138732745,38.673709869384766,32.1192626953125
rainbow,rainbow,3200,71.75349440000001,5.877932599688597,10.367399215698242,-55.095558166503906
kawaii,kawaii,3128,273.6570039,5.801929116195604,-7.51314115524292,15.142641067504883
bts,bts,3158,238.45891170000002,5.8335972343176845,12.658404350280762,9.993132591247559
snow,snow,3085,107.61920009999999,5.756538146887288,41.0816650390625,-21.79107093811035
star,star,2960,105.6563993,5.624587654711952,24.561487197875977,70.08829498291016
circle,circle,2759,129.7678299,5.412411263294012,27.00871467590332,-4.059203147888184
birthday,birthday,2850,142.595619,5.508471221597657,3.338042736053467,69.48800659179688
sparkle,sparkle,2613,103.0853024,5.25829308843322,35.57808303833008,-44.04037094116211
tattoo,tattoo,2629,238.62030980000003,5.275182751431663,-14.019877433776855,-33.28451919555664
overlay,overlay,2501,390.5196153,5.140065447444119,19.0167236328125,-35.782447814941406
cute,cute,2539,139.0688147,5.18017839706542,-38.36182403564453,38.44802474975586
white,white,2645,143.4617188,5.2920724144301055,17.12360191345215,-45.311988830566406
blood,blood,2417,129.959807,5.051394716702293,18.68850326538086,-14.681270599365234
free,free,2362,184.99342980000003,4.993336500145146,14.990296363830566,14.015458106994629
turkey,turkey,2285,59.45000397,4.912054996965139,-56.51087188720703,-38.986427307128906
fire,fire,2266,84.23767612,4.891998522154488,64.08162689208984,14.38370418548584
quotes,quotes,2199,181.4100081,4.821273058348508,31.070114135742188,54.26299285888672
santa,santa,2471,62.66678002,5.108397329322038,-34.044254302978516,-4.974452018737793
roses,roses,2089,110.32409369999999,4.705156625234212,-6.453846454620361,-62.07392501831055
pastel,pastel,2240,213.2064028,4.864552819782018,5.129526615142822,-43.46875
pixel,pixel,2221,376.82066339999994,4.8444963449713665,-15.09020709991455,95.08814239501953
icon,icon,2145,167.23436719999998,4.764270445728762,41.55582046508789,78.55215454101562
money,money,2095,82.74022588,4.711490248858628,35.181419372558594,13.970320701599121
wings,wings,2036,102.5043465,4.64920961655187,28.00149917602539,-13.393525123596191
galaxy,galaxy,2055,131.0748452,4.6692660913625215,5.11588191986084,81.54688262939453
eyes,eyes,1997,111.63141840000002,4.6080410629931645,64.35433959960938,-14.319661140441895
baby,baby,2153,165.77406340000002,4.772715277227984,-43.48536682128906,73.06724548339844
green,green,2219,161.5412266,4.842385137096562,20.235713958740234,-49.7260856628418
butterfly,butterfly,1961,121.5525531,4.570039321246668,-1.613984227180481,-23.881105422973633
trippy,trippy,1991,133.24762909999998,4.601707439368749,-48.93998336791992,29.5856990814209
glasses,glasses,1921,109.506575,4.527815163750561,54.46693801879883,-71.04505157470703
hair,hair,1968,125.8063259,4.577428548808487,57.66902542114258,-44.726951599121094
fall,fall,1981,100.8730776,4.591151399994722,54.108272552490234,11.774115562438965
sparkles,sparkles,1875,110.8152966,4.4792573826300375,35.16107177734375,-44.887962341308594
arrow,arrow,1872,91.15353269,4.47609057081783,90.16144561767578,-11.174139022827148
